bore_mm,OD_mm,width_mm,C10_N,C0_thrust_N,K,a_mm,cone,cup,source_note
25.4,60.325,19.842,11000,6550,1.69,-5.1,15578,15523,Figure 11-15 OCR digitization
25.4,61.912,19.050,12100,7280,1.67,-5.8,15101,15243,Figure 11-15 OCR digitization
25.4,62.000,19.050,12100,7280,1.67,-5.8,15100,15245,Figure 11-15 OCR digitization
25.4,62.000,19.050,12100,7280,1.67,-5.8,15101,15245,Figure 11-15 OCR digitization
25.4,62.000,19.050,12100,7280,1.67,-5.8,15102,15245,Figure 11-15 OCR digitization
25.4,62.000,20.638,12100,7280,1.67,-5.8,15101,15244,Figure 11-15 OCR digitization
25.4,63.500,20.638,12100,7280,1.67,-5.8,15101,15250,Figure 11-15 OCR digitization
25.4,64.292,21.433,14500,13500,1.07,-3.3,M86643,M86610,Figure 11-15 OCR digitization
25.4,65.088,22.225,13100,16400,0.80,-2.3,23100,23256,Figure 11-15 OCR digitization
25.4,66.421,23.812,18400,8000,2.68,-9.4,2631,2687,Figure 11-15 OCR digitization
25.4,68.262,22.225,15300,10900,1.40,-5.1,02473,02420,Figure 11-15 OCR digitization
25.4,72.233,25.400,18400,17200,1.07,-4.6,HM88630,HM88610,Figure 11-15 OCR digitization
26.157,62.000,19.050,12100,7280,1.67,-5.8,15103,15245,Figure 11-15 OCR digitization
26.988,62.000,19.050,12100,7280,1.67,-5.8,15106,15245,Figure 11-15 OCR digitization
28.575,57.150,17.462,11000,6550,1.69,-5.1,15590,15520,Figure 11-15 OCR digitization
28.575,58.738,19.050,11600,6560,1.77,-5.8,1985,1932,Figure 11-15 OCR digitization
28.575,60.325,19.842,11000,6550,1.69,-5.1,15590,15523,Figure 11-15 OCR digitization